date,PortfolioValue,Capital,Shares
2026-02-27 07:30:00,100444.515625,100444.515625,0.0
2026-02-27 07:45:00,100444.515625,100444.515625,0.0
2026-02-27 08:00:00,100444.515625,100444.515625,0.0
2026-02-27 08:15:00,100444.515625,100444.515625,0.0
2026-02-27 08:30:00,100444.515625,100444.515625,0.0
2026-02-27 08:45:00,100444.515625,100444.515625,0.0
2026-02-27 09:00:00,100444.515625,100444.515625,0.0
2026-02-27 09:15:00,100444.515625,100444.515625,0.0
2026-02-27 09:30:00,100444.515625,100444.515625,0.0
2026-02-27 09:45:00,100444.515625,100444.515625,0.0
2026-02-27 10:00:00,100434.1640625,90081.96875,0.15453000366687775
2026-02-27 10:15:00,100401.015625,90081.96875,0.15453000366687775
2026-02-27 10:30:00,100401.9765625,90081.96875,0.15453000366687775
2026-02-27 10:45:00,100380.703125,90081.96875,0.15453000366687775
2026-02-27 11:00:00,100396.0859375,90081.96875,0.15453000366687775
2026-02-27 11:15:00,100374.4453125,90081.96875,0.15453000366687775
2026-02-27 11:30:00,100287.640625,90081.96875,0.15453000366687775
2026-02-27 11:45:00,100298.0703125,90081.96875,0.15453000366687775
2026-02-27 12:00:00,100284.21875,90081.96875,0.15453000366687775
2026-02-27 12:15:00,100282.703125,90081.96875,0.15453000366687775
2026-02-27 12:30:00,100270.3359375,90081.96875,0.15453000366687775
2026-02-27 12:45:00,100250.890625,90081.96875,0.15453000366687775
2026-02-27 13:00:00,100282.953125,90081.96875,0.15453000366687775
2026-02-27 13:15:00,100273.03125,100273.03125,0.0
2026-02-27 13:30:00,100273.03125,100273.03125,0.0
2026-02-27 13:45:00,100273.03125,100273.03125,0.0
2026-02-27 14:00:00,100273.03125,100273.03125,0.0
2026-02-27 14:15:00,100273.03125,100273.03125,0.0
2026-02-27 14:30:00,100257.703125,84933.8515625,0.23284000158309937
2026-02-27 14:45:00,100269.296875,84933.8515625,0.23284000158309937
2026-02-27 15:00:00,100312.25,84933.8515625,0.23284000158309937
2026-02-27 15:15:00,100319.921875,100319.921875,0.0
2026-02-27 15:30:00,100319.921875,100319.921875,0.0
2026-02-27 15:45:00,100319.921875,100319.921875,0.0
2026-02-27 16:00:00,100319.921875,100319.921875,0.0
2026-02-27 16:15:00,100319.921875,100319.921875,0.0
2026-02-27 16:30:00,100319.921875,100319.921875,0.0
2026-02-27 16:45:00,100304.3203125,84700.828125,0.23819999396800995
2026-02-27 17:00:00,100297.203125,84700.828125,0.23819999396800995
2026-02-27 17:15:00,100240.09375,84700.828125,0.23819999396800995
2026-02-27 17:30:00,100279.375,84700.828125,0.23819999396800995
2026-02-27 17:45:00,100325.2421875,100325.2421875,0.0
2026-02-27 18:00:00,100325.2421875,100325.2421875,0.0
2026-02-27 18:15:00,100325.2421875,100325.2421875,0.0
2026-02-27 18:30:00,100325.2421875,100325.2421875,0.0
2026-02-27 18:45:00,100325.2421875,100325.2421875,0.0
2026-02-27 19:00:00,100325.2421875,100325.2421875,0.0
2026-02-27 19:15:00,100325.2421875,100325.2421875,0.0
2026-02-27 19:30:00,100325.2421875,100325.2421875,0.0
2026-02-27 19:45:00,100325.2421875,100325.2421875,0.0
2026-02-27 20:00:00,100325.2421875,100325.2421875,0.0
2026-02-27 20:15:00,100325.2421875,100325.2421875,0.0
2026-02-27 20:30:00,100325.2421875,100325.2421875,0.0
2026-02-27 20:45:00,100325.2421875,100325.2421875,0.0
2026-02-27 21:00:00,100325.2421875,100325.2421875,0.0
2026-02-27 21:15:00,100325.2421875,100325.2421875,0.0
2026-02-27 21:30:00,100325.2421875,100325.2421875,0.0
2026-02-27 21:45:00,100325.2421875,100325.2421875,0.0
2026-02-27 22:00:00,100325.2421875,100325.2421875,0.0
2026-02-27 22:15:00,100325.2421875,100325.2421875,0.0
2026-02-27 22:30:00,100325.2421875,100325.2421875,0.0
2026-02-27 22:45:00,100325.2421875,100325.2421875,0.0
2026-02-27 23:00:00,100325.2421875,100325.2421875,0.0
2026-02-27 23:15:00,100325.2421875,100325.2421875,0.0
2026-02-27 23:30:00,100325.2421875,100325.2421875,0.0
2026-02-27 23:45:00,100325.2421875,100325.2421875,0.0
2026-02-28 00:00:00,100325.2421875,100325.2421875,0.0
2026-02-28 00:15:00,100325.2421875,100325.2421875,0.0
2026-02-28 00:30:00,100325.2421875,100325.2421875,0.0
2026-02-28 00:45:00,100325.2421875,100325.2421875,0.0
2026-02-28 01:00:00,100325.2421875,100325.2421875,0.0
2026-02-28 01:15:00,100325.2421875,100325.2421875,0.0
2026-02-28 01:30:00,100325.2421875,100325.2421875,0.0
2026-02-28 01:45:00,100325.2421875,100325.2421875,0.0
2026-02-28 02:00:00,100325.2421875,100325.2421875,0.0
2026-02-28 02:15:00,100325.2421875,100325.2421875,0.0
2026-02-28 02:30:00,100325.2421875,100325.2421875,0.0
2026-02-28 02:45:00,100325.2421875,100325.2421875,0.0
2026-02-28 03:00:00,100325.2421875,100325.2421875,0.0
2026-02-28 03:15:00,100325.2421875,100325.2421875,0.0
2026-02-28 03:30:00,100325.2421875,100325.2421875,0.0
2026-02-28 03:45:00,100325.2421875,100325.2421875,0.0
2026-02-28 04:00:00,100325.2421875,100325.2421875,0.0
2026-02-28 04:15:00,100325.2421875,100325.2421875,0.0
2026-02-28 04:30:00,100325.2421875,100325.2421875,0.0
2026-02-28 04:45:00,100325.2421875,100325.2421875,0.0
2026-02-28 05:00:00,100325.2421875,100325.2421875,0.0
2026-02-28 05:15:00,100325.2421875,100325.2421875,0.0
2026-02-28 05:30:00,100325.2421875,100325.2421875,0.0
2026-02-28 05:45:00,100325.2421875,100325.2421875,0.0
2026-02-28 06:00:00,100325.2421875,100325.2421875,0.0
2026-02-28 06:15:00,100304.9765625,80040.7109375,0.3143700063228607
2026-02-28 06:30:00,100152.3828125,80040.7109375,0.3143700063228607
2026-02-28 06:45:00,99822.78125,63079.90625,0.5822399854660034
2026-02-28 07:00:00,100223.96875,63079.90625,0.5822399854660034
2026-02-28 07:15:00,100062.703125,63079.90625,0.5822399854660034
2026-02-28 07:30:00,100394.078125,63079.90625,0.5822399854660034
2026-02-28 07:45:00,100258.0625,63079.90625,0.5822399854660034
2026-02-28 08:00:00,100167.8125,63079.90625,0.5822399854660034
2026-02-28 08:15:00,100147.9375,63079.90625,0.5822399854660034
2026-02-28 08:30:00,100182.9453125,63079.90625,0.5822399854660034
2026-02-28 08:45:00,100009.5625,63079.90625,0.5822399854660034
2026-02-28 09:00:00,100142.03125,63079.90625,0.5822399854660034
2026-02-28 09:15:00,100233.1875,63079.90625,0.5822399854660034
2026-02-28 09:30:00,100135.21875,63079.90625,0.5822399854660034
2026-02-28 09:45:00,100162.140625,63079.90625,0.5822399854660034
2026-02-28 10:00:00,100084.84375,63079.90625,0.5822399854660034
2026-02-28 10:15:00,100260.5625,63079.90625,0.5822399854660034
2026-02-28 10:30:00,100324.1328125,63079.90625,0.5822399854660034
2026-02-28 10:45:00,100343.9375,63079.90625,0.5822399854660034
2026-02-28 11:00:00,100346.296875,100346.296875,0.0
2026-02-28 11:15:00,100346.296875,100346.296875,0.0
2026-02-28 11:30:00,100346.296875,100346.296875,0.0
2026-02-28 11:45:00,100346.296875,100346.296875,0.0
2026-02-28 12:00:00,100346.296875,100346.296875,0.0
2026-02-28 12:15:00,100346.296875,100346.296875,0.0
2026-02-28 12:30:00,100346.296875,100346.296875,0.0
2026-02-28 12:45:00,100346.296875,100346.296875,0.0
2026-02-28 13:00:00,100346.296875,100346.296875,0.0
2026-02-28 13:15:00,100346.296875,100346.296875,0.0
2026-02-28 13:30:00,100346.296875,100346.296875,0.0
